Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Arel Jacinthe-Eve P.C.Q-E.E.D.;Bourson Patrick Ind;Caron Vincent C.A.Q.-E.F.L.;Hayes Patrick P.L.Q./Q.L.P.;Mc Cabe Alexandre P.Q.;Melançon Anne-Marie Q.S.;Simard Karine D.D.;B.V.;B.R.
714;Portneuf;2022-10-03;G;Neuville, v;1;;55;395;46;3;109;5;37;15;0;215;4
714;Portneuf;2022-10-03;G;Neuville, v;1;;56;405;36;2;98;9;51;21;0;217;3
714;Portneuf;2022-10-03;G;Neuville, v;1;;57;405;57;4;86;12;48;36;0;243;3
714;Portneuf;2022-10-03;G;Neuville, v;1;;58;396;61;1;99;9;39;25;0;234;2
714;Portneuf;2022-10-03;G;Neuville, v;1;;59;396;69;3;114;3;41;30;0;260;3
714;Portneuf;2022-10-03;G;Neuville, v;1;;60;391;61;1;113;6;28;30;0;239;4
714;Portneuf;2022-10-03;G;Neuville, v;1;;61;400;58;2;95;9;35;34;2;235;5
714;Portneuf;2022-10-03;G;Neuville, v;1;;62;405;76;3;63;6;19;27;0;194;3
714;Portneuf;2022-10-03;G;Neuville, v;1;;63;403;97;6;58;1;21;11;0;194;5
714;Portneuf;2022-10-03;G;Pont-Rouge, v;1;;64;398;64;8;60;4;11;13;0;160;1
714;Portneuf;2022-10-03;G;Pont-Rouge, v;1;;65;396;47;5;55;2;17;12;0;138;4
714;Portneuf;2022-10-03;G;Pont-Rouge, v;1;;66;395;55;4;66;8;11;9;0;153;2
714;Portneuf;2022-10-03;G;Pont-Rouge, v;1;;67;397;47;4;57;5;15;12;0;140;0
714;Portneuf;2022-10-03;G;Pont-Rouge, v;1;;68;408;52;5;43;4;8;16;0;128;1
714;Portneuf;2022-10-03;G;Pont-Rouge, v;1;;69;395;58;8;70;2;15;11;0;164;3
714;Portneuf;2022-10-03;G;Pont-Rouge, v;1;;70;399;35;7;80;3;18;10;1;154;1
714;Portneuf;2022-10-03;G;Pont-Rouge, v;1;;71;425;83;9;65;3;21;20;0;201;2
714;Portneuf;2022-10-03;G;Pont-Rouge, v;1;;72;429;77;10;57;9;12;9;0;174;0
714;Portneuf;2022-10-03;G;Pont-Rouge, v;1;;73A;214;28;2;35;4;12;10;0;91;0
714;Portneuf;2022-10-03;G;Pont-Rouge, v;1;;73B;219;42;4;22;2;16;20;0;106;2
714;Portneuf;2022-10-03;G;Pont-Rouge, v;1;;74;425;64;7;77;7;13;24;0;192;0
714;Portneuf;2022-10-03;G;Pont-Rouge, v;2;;75;395;58;6;73;5;18;16;0;176;1
714;Portneuf;2022-10-03;G;Pont-Rouge, v;2;;76;385;57;4;64;2;18;10;0;155;2
714;Portneuf;2022-10-03;G;Pont-Rouge, v;2;;77;376;49;5;58;7;13;7;0;139;2
714;Portneuf;2022-10-03;G;Pont-Rouge, v;2;;78;378;22;9;31;3;17;13;0;95;6
714;Portneuf;2022-10-03;G;Pont-Rouge, v;2;;79;398;63;4;36;4;6;15;1;129;2
714;Portneuf;2022-10-03;G;Pont-Rouge, v;2;;80;399;71;12;45;1;13;18;0;160;1
714;Portneuf;2022-10-03;G;Pont-Rouge, v;2;;81;401;57;7;68;0;17;16;0;165;2
714;Portneuf;2022-10-03;G;Pont-Rouge, v;2;;82;403;81;8;60;2;14;15;0;180;3
714;Portneuf;2022-10-03;G;Pont-Rouge, v;2;;83;407;80;11;44;7;11;16;0;169;3
714;Portneuf;2022-10-03;G;Saint-Basile, v;1;;84;359;69;12;65;4;17;8;0;175;2
714;Portneuf;2022-10-03;G;Saint-Basile, v;1;;85;372;72;5;77;8;14;21;1;198;4
