Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Avalos Laura Q.S.;Bussière Robert C.A.Q.-E.F.L.;Déry Raphaël P.Q.;Dupuis Robert D.D.;Green Caryl P.L.Q./Q.L.P.;Jammal Joëlle P.C.Q-E.E.D.;Velasquez Danilo P.C.Q./C.P.Q;B.V.;B.R.
614;Gatineau;2022-10-03;G;Val-des-Monts, m;1;;97;420;22;55;24;0;18;15;2;136;2
614;Gatineau;2022-10-03;G;Val-des-Monts, m;1;;98;407;17;81;13;1;11;28;1;152;1
614;Gatineau;2022-10-03;G;Val-des-Monts, m;1;;99A;234;13;49;6;1;9;16;1;95;2
614;Gatineau;2022-10-03;G;Val-des-Monts, m;1;;99B;204;3;23;6;1;25;18;1;77;1
614;Gatineau;2022-10-03;G;Val-des-Monts, m;1;;100A;240;14;42;9;0;12;9;1;87;1
614;Gatineau;2022-10-03;G;Val-des-Monts, m;1;;100B;251;16;35;15;3;14;22;0;105;2
614;Gatineau;2022-10-03;G;Val-des-Monts, m;1;;101;406;42;73;17;1;22;32;0;187;0
614;Gatineau;2022-10-03;G;Val-des-Monts, m;1;;102;405;21;43;15;0;20;35;0;134;0
614;Gatineau;2022-10-03;G;Val-des-Monts, m;1;;103;412;14;71;16;0;15;24;0;140;1
614;Gatineau;2022-10-03;G;Val-des-Monts, m;1;;104;414;13;51;21;0;7;48;2;142;2
614;Gatineau;2022-10-03;G;Val-des-Monts, m;1;;105A;224;24;23;12;1;6;22;1;89;0
614;Gatineau;2022-10-03;G;Val-des-Monts, m;1;;105B;218;9;28;8;0;13;9;1;68;0
614;Gatineau;2022-10-03;G;Val-des-Monts, m;1;;106;409;25;67;16;0;22;26;0;156;1
614;Gatineau;2022-10-03;G;Val-des-Monts, m;2;;107;429;22;68;14;0;21;27;3;155;1
614;Gatineau;2022-10-03;G;Val-des-Monts, m;2;;108A;219;7;25;6;2;22;7;0;69;0
614;Gatineau;2022-10-03;G;Val-des-Monts, m;2;;108B;222;21;25;4;1;9;11;1;72;0
614;Gatineau;2022-10-03;G;Val-des-Monts, m;2;;109A;209;8;40;7;1;11;23;0;90;1
614;Gatineau;2022-10-03;G;Val-des-Monts, m;2;;109B;250;15;52;11;2;15;8;2;105;1
614;Gatineau;2022-10-03;G;Val-des-Monts, m;2;;110;427;30;58;13;3;31;48;1;184;4
614;Gatineau;2022-10-03;G;Val-des-Monts, m;2;;111;428;22;67;11;1;30;21;4;156;1
614;Gatineau;2022-10-03;G;Val-des-Monts, m;2;;112;422;22;74;26;2;26;38;1;189;1
614;Gatineau;2022-10-03;G;Val-des-Monts, m;2;;113;412;25;78;15;2;20;30;1;171;1
614;Gatineau;2022-10-03;G;Val-des-Monts, m;2;;114;388;12;69;24;0;28;14;2;149;0
614;Gatineau;2022-10-03;G;Val-des-Monts, m;2;;115;406;7;36;5;2;44;21;5;120;2
614;Gatineau;2022-10-03;G;Denholm, m;1;;116;406;11;79;20;0;34;19;5;168;0
614;Gatineau;2022-10-03;G;Low, ct;1;;117;412;8;35;7;2;38;35;10;135;2
614;Gatineau;2022-10-03;G;Low, ct;1;;118;400;7;29;7;0;50;55;14;162;1
614;Gatineau;2022-10-03;G;Kazabazua, m;1;;119;397;14;35;7;1;35;57;10;159;0
614;Gatineau;2022-10-03;G;Kazabazua, m;1;;120;390;10;47;15;0;28;30;6;136;3
614;Gatineau;2022-10-03;G;Lac-Sainte-Marie, m;1;;121;251;4;65;9;0;24;10;3;115;2
614;Gatineau;2022-10-03;G;Lac-Sainte-Marie, m;1;;122;255;5;65;10;0;18;17;2;117;0
614;Gatineau;2022-10-03;G;Gracefield, v;1;;123;400;10;66;15;0;11;2;23;127;13
614;Gatineau;2022-10-03;G;Gracefield, v;1;;124;418;9;56;9;0;10;5;0;89;2
614;Gatineau;2022-10-03;G;Gracefield, v;1;;125;389;6;66;10;0;9;13;0;104;3
614;Gatineau;2022-10-03;G;Gracefield, v;1;;126;400;6;43;6;0;4;20;1;80;4
614;Gatineau;2022-10-03;G;Gracefield, v;1;;127;414;5;50;6;0;8;14;0;83;1
614;Gatineau;2022-10-03;G;Cayamant, m;1;;128;356;11;67;14;0;11;10;0;113;2
614;Gatineau;2022-10-03;G;Cayamant, m;1;;129;372;7;68;11;0;15;18;0;119;5
614;Gatineau;2022-10-03;G;Blue Sea, m;1;;130;282;8;78;30;1;16;7;0;140;2
614;Gatineau;2022-10-03;G;Blue Sea, m;1;;131;298;9;72;15;1;4;11;0;112;1
614;Gatineau;2022-10-03;G;Bouchette, m;1;;132;283;10;89;10;0;5;9;1;124;1
614;Gatineau;2022-10-03;G;Bouchette, m;1;;133;314;12;96;13;2;22;9;0;154;3
614;Gatineau;2022-10-03;G;Sainte-Thérèse-de-la-Gatineau, m;1;;134;221;3;66;13;1;14;12;0;109;0
614;Gatineau;2022-10-03;G;Sainte-Thérèse-de-la-Gatineau, m;1;;135;224;4;78;8;0;10;7;0;107;3
614;Gatineau;2022-10-03;G;Messines, m;1;;136;353;8;77;21;1;5;14;2;128;1
614;Gatineau;2022-10-03;G;Messines, m;1;;137;351;7;81;19;0;8;9;0;124;3
614;Gatineau;2022-10-03;G;Messines, m;1;;138;342;8;76;24;0;11;17;0;136;1
614;Gatineau;2022-10-03;G;Messines, m;1;;139;366;11;80;21;0;12;17;0;141;2
614;Gatineau;2022-10-03;G;Kitigan Zibi, r;1;;140;734;4;11;1;0;5;2;0;23;0
614;Gatineau;2022-10-03;G;Déléage, m;1;;141;373;5;77;17;0;8;12;1;120;2
614;Gatineau;2022-10-03;G;Déléage, m;1;;142;385;14;69;10;0;8;14;0;115;0
614;Gatineau;2022-10-03;G;Déléage, m;1;;143;410;11;90;9;1;11;14;0;136;3
614;Gatineau;2022-10-03;G;Déléage, m;1;;144;408;7;86;8;0;8;16;0;125;1
614;Gatineau;2022-10-03;G;Maniwaki, v;1;;145;368;17;50;18;0;1;11;0;97;1
614;Gatineau;2022-10-03;G;Maniwaki, v;1;;146;392;13;75;20;0;10;11;0;129;0
614;Gatineau;2022-10-03;G;Maniwaki, v;1;;147;378;9;49;13;1;5;10;0;87;1
614;Gatineau;2022-10-03;G;Maniwaki, v;1;;148;354;6;42;2;1;11;18;0;80;1
614;Gatineau;2022-10-03;G;Maniwaki, v;1;;149;359;6;50;9;0;3;6;0;74;16
614;Gatineau;2022-10-03;G;Maniwaki, v;1;;150;379;11;62;12;0;10;5;0;100;3
614;Gatineau;2022-10-03;G;Maniwaki, v;1;;151;360;12;57;4;0;5;12;0;90;2
614;Gatineau;2022-10-03;G;Maniwaki, v;1;;152;364;13;64;16;0;5;11;1;110;4
614;Gatineau;2022-10-03;G;Egan-Sud, m;1;;153;223;12;46;13;0;3;7;0;81;0
614;Gatineau;2022-10-03;G;Egan-Sud, m;1;;154;216;7;49;11;0;3;9;0;79;1
