Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Bélanger Line P.N.;Champagne Isabelle P.C.Q-E.E.D.;Dubé Caroline P.Q.;Gagnon Yannick C.A.Q.-E.F.L.;Garcia Martinez Karla Cynthia Q.S.;Solon Wilda P.L.Q./Q.L.P.;B.V.;B.R.
922;Jonquière;2022-10-03;G;Saguenay, v;4;;23;354;2;27;34;108;8;0;179;4
922;Jonquière;2022-10-03;G;Saguenay, v;4;;24;364;0;22;28;104;10;4;168;5
922;Jonquière;2022-10-03;G;Saguenay, v;4;;25;352;3;24;29;98;9;4;167;0
922;Jonquière;2022-10-03;G;Saguenay, v;4;;26;379;1;16;32;83;12;5;149;2
922;Jonquière;2022-10-03;G;Saguenay, v;4;;27;369;1;17;25;85;21;3;152;1
922;Jonquière;2022-10-03;G;Saguenay, v;4;;28;344;2;15;27;64;23;1;132;4
922;Jonquière;2022-10-03;G;Saguenay, v;5;;29;371;1;29;25;63;27;3;148;1
922;Jonquière;2022-10-03;G;Saguenay, v;5;;30;341;1;19;29;74;18;3;144;1
922;Jonquière;2022-10-03;G;Saguenay, v;5;;31;341;1;21;20;85;14;3;144;0
922;Jonquière;2022-10-03;G;Saguenay, v;5;;32;355;2;10;37;94;11;2;156;0
922;Jonquière;2022-10-03;G;Saguenay, v;5;;33;364;1;16;20;106;17;2;162;0
922;Jonquière;2022-10-03;G;Saguenay, v;6;;34;386;0;15;29;124;12;5;185;2
922;Jonquière;2022-10-03;G;Saguenay, v;6;;35;378;0;19;26;86;19;1;151;4
922;Jonquière;2022-10-03;G;Saguenay, v;6;;36;406;1;12;38;84;15;1;151;2
922;Jonquière;2022-10-03;G;Saguenay, v;6;;37;389;1;12;34;117;20;8;192;4
922;Jonquière;2022-10-03;G;Saguenay, v;6;;38;390;0;7;26;107;18;3;161;0
922;Jonquière;2022-10-03;G;Saguenay, v;6;;39;376;3;10;32;124;16;1;186;2
922;Jonquière;2022-10-03;G;Saguenay, v;6;;40;393;3;24;29;110;18;1;185;4
922;Jonquière;2022-10-03;G;Saguenay, v;6;;41;388;0;10;41;131;20;0;202;2
922;Jonquière;2022-10-03;G;Saguenay, v;6;;42;380;1;22;26;48;19;6;122;3
922;Jonquière;2022-10-03;G;Saguenay, v;7;;43A;285;0;13;19;69;12;1;114;3
922;Jonquière;2022-10-03;G;Saguenay, v;7;;43B;264;1;11;26;69;8;2;117;0
922;Jonquière;2022-10-03;G;Saguenay, v;7;;44;398;2;13;24;99;20;7;165;2
922;Jonquière;2022-10-03;G;Saguenay, v;7;;45;417;2;18;47;97;10;0;174;4
922;Jonquière;2022-10-03;G;Saguenay, v;7;;46;389;1;19;31;85;19;1;156;3
922;Jonquière;2022-10-03;G;Saguenay, v;7;;47;377;1;24;19;61;12;8;125;0
922;Jonquière;2022-10-03;G;Saguenay, v;7;;48;381;1;30;27;64;11;6;139;4
922;Jonquière;2022-10-03;G;Saguenay, v;7;;49;410;2;34;39;70;12;1;158;4
922;Jonquière;2022-10-03;G;Saguenay, v;8;;50;352;0;24;33;71;10;2;140;2
922;Jonquière;2022-10-03;G;Saguenay, v;8;;51;339;3;20;33;72;14;0;142;1
922;Jonquière;2022-10-03;G;Saguenay, v;8;;52;361;3;12;27;64;13;1;120;1
922;Jonquière;2022-10-03;G;Saguenay, v;8;;53;370;1;22;35;67;19;1;145;2
922;Jonquière;2022-10-03;G;Saguenay, v;9;;54;346;0;11;32;46;17;1;107;1
922;Jonquière;2022-10-03;G;Saguenay, v;9;;55;324;1;15;23;44;11;4;98;1
922;Jonquière;2022-10-03;G;Saguenay, v;9;;56;320;0;9;29;58;19;2;117;0
922;Jonquière;2022-10-03;G;Saguenay, v;9;;57;369;0;10;28;65;21;2;126;0
922;Jonquière;2022-10-03;G;Saguenay, v;10;;58;358;0;17;32;75;17;3;144;0
922;Jonquière;2022-10-03;G;Saguenay, v;10;;59;338;0;15;20;74;8;2;119;4
922;Jonquière;2022-10-03;G;Saguenay, v;10;;60;352;2;11;27;57;11;3;111;4
922;Jonquière;2022-10-03;G;Saguenay, v;11;;61;385;2;19;37;112;16;5;191;1
922;Jonquière;2022-10-03;G;Saguenay, v;11;;62;351;1;10;36;103;13;1;164;1
922;Jonquière;2022-10-03;G;Saguenay, v;11;;63;368;2;15;40;95;14;4;170;3
922;Jonquière;2022-10-03;G;Saguenay, v;11;;64;371;1;24;35;76;15;3;154;4
922;Jonquière;2022-10-03;G;Saguenay, v;11;;65;341;0;18;17;82;11;1;129;0
922;Jonquière;2022-10-03;G;Saguenay, v;11;;66;377;0;15;35;76;18;2;146;4
922;Jonquière;2022-10-03;G;Saguenay, v;11;;67;371;3;13;21;69;12;3;121;3
922;Jonquière;2022-10-03;G;Saguenay, v;12;;68;405;0;26;29;86;15;3;159;5
922;Jonquière;2022-10-03;G;Saguenay, v;12;;69;399;3;11;41;148;15;10;228;4
922;Jonquière;2022-10-03;G;Saguenay, v;12;;70;397;0;18;38;107;18;4;185;0
922;Jonquière;2022-10-03;G;Saguenay, v;13;;71;383;2;12;47;120;11;5;197;1
922;Jonquière;2022-10-03;G;Saguenay, v;13;;72;358;0;25;22;103;17;4;171;1
922;Jonquière;2022-10-03;G;Saguenay, v;13;;73;334;0;11;20;81;10;8;130;3
922;Jonquière;2022-10-03;G;Saguenay, v;13;;74;375;0;14;34;110;22;0;180;2
922;Jonquière;2022-10-03;G;Saguenay, v;13;;75;349;2;15;33;96;18;3;167;5
922;Jonquière;2022-10-03;G;Saguenay, v;14;;76;361;1;15;38;81;23;7;165;3
922;Jonquière;2022-10-03;G;Saguenay, v;14;;77;376;2;10;26;67;36;10;151;0
922;Jonquière;2022-10-03;G;Saguenay, v;14;;78;373;0;20;52;86;22;3;183;0
922;Jonquière;2022-10-03;G;Saguenay, v;14;;79;339;1;13;53;67;43;4;181;1
922;Jonquière;2022-10-03;G;Saguenay, v;14;;80;375;1;9;64;90;34;7;205;2
922;Jonquière;2022-10-03;G;Saguenay, v;14;;81;367;1;10;61;101;27;3;203;1
922;Jonquière;2022-10-03;G;Saguenay, v;15;;82;357;1;22;42;83;23;6;177;3
922;Jonquière;2022-10-03;G;Saguenay, v;15;;83;333;1;20;48;112;23;0;204;6
922;Jonquière;2022-10-03;G;Saguenay, v;15;;84;356;1;29;33;96;23;2;184;3
922;Jonquière;2022-10-03;G;Saguenay, v;16;;85;360;2;15;45;104;14;1;181;1
922;Jonquière;2022-10-03;G;Saguenay, v;16;;86;355;0;13;34;134;10;1;192;2
922;Jonquière;2022-10-03;G;Saguenay, v;16;;87;382;0;18;28;111;16;5;178;2
