Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Allaire Marc P.L.Q./Q.L.P.;Baril Isabelle P.C.Q-E.E.D.;Charette Benoît C.A.Q.-E.F.L.;Côté Olivier Q.S.;Courteau Hélèna C.Q.;Dubois-Massey Dominique U.F.F.;Lalonde Guillaume P.Q.;Tagodoe Amavi P.V.Q./G.P.Q.;B.V.;B.R.
508;Deux-Montagnes;2022-10-03;G;Saint-Eustache, v;4;;54;339;25;19;73;23;0;1;27;2;170;1
508;Deux-Montagnes;2022-10-03;G;Saint-Eustache, v;4;;55;343;10;21;84;23;2;2;17;2;161;5
508;Deux-Montagnes;2022-10-03;G;Saint-Eustache, v;4;;56;341;15;18;80;29;0;0;33;0;175;6
508;Deux-Montagnes;2022-10-03;G;Saint-Eustache, v;5;;57;401;18;15;60;27;3;0;32;1;156;3
508;Deux-Montagnes;2022-10-03;G;Saint-Eustache, v;5;;58;384;19;19;65;27;2;1;30;0;163;3
508;Deux-Montagnes;2022-10-03;G;Saint-Eustache, v;5;;59;408;12;24;86;28;0;0;28;2;180;2
508;Deux-Montagnes;2022-10-03;G;Saint-Eustache, v;5;;60;400;10;37;62;20;0;1;47;0;177;1
508;Deux-Montagnes;2022-10-03;G;Saint-Eustache, v;6;;61;385;8;28;89;24;0;0;43;2;194;8
508;Deux-Montagnes;2022-10-03;G;Saint-Eustache, v;6;;62;356;15;23;65;30;1;1;39;4;178;1
508;Deux-Montagnes;2022-10-03;G;Saint-Eustache, v;6;;63;358;17;15;80;16;0;0;34;1;163;5
508;Deux-Montagnes;2022-10-03;G;Saint-Eustache, v;6;;64;375;14;19;60;15;0;0;27;3;138;4
508;Deux-Montagnes;2022-10-03;G;Saint-Eustache, v;6;;65;354;10;15;50;21;2;0;27;1;126;2
508;Deux-Montagnes;2022-10-03;G;Saint-Eustache, v;6;;66;362;11;22;57;29;1;0;26;0;146;1
508;Deux-Montagnes;2022-10-03;G;Saint-Eustache, v;6;;67;382;11;14;60;25;0;1;41;2;154;2
508;Deux-Montagnes;2022-10-03;G;Saint-Eustache, v;7;;68;364;16;8;67;21;0;0;44;1;157;5
508;Deux-Montagnes;2022-10-03;G;Saint-Eustache, v;7;;69;385;9;18;77;11;1;0;40;0;156;0
508;Deux-Montagnes;2022-10-03;G;Saint-Eustache, v;7;;70;388;19;14;71;19;0;1;31;2;157;1
508;Deux-Montagnes;2022-10-03;G;Saint-Eustache, v;7;;71;378;11;12;69;23;1;0;32;2;150;0
508;Deux-Montagnes;2022-10-03;G;Saint-Eustache, v;7;;72;366;18;17;61;29;1;1;30;0;157;2
508;Deux-Montagnes;2022-10-03;G;Saint-Eustache, v;7;;73;390;12;9;85;30;0;3;32;2;173;1
508;Deux-Montagnes;2022-10-03;G;Saint-Eustache, v;7;;74;368;14;12;80;22;0;0;36;3;167;5
508;Deux-Montagnes;2022-10-03;G;Saint-Eustache, v;8;;75;332;17;11;94;18;0;1;35;1;177;1
508;Deux-Montagnes;2022-10-03;G;Saint-Eustache, v;8;;76;353;17;12;90;27;1;2;42;1;192;3
508;Deux-Montagnes;2022-10-03;G;Saint-Eustache, v;8;;77;350;12;27;74;33;0;0;39;2;187;0
508;Deux-Montagnes;2022-10-03;G;Saint-Eustache, v;8;;78;357;12;21;89;15;0;0;31;1;169;5
508;Deux-Montagnes;2022-10-03;G;Saint-Eustache, v;9;;79;397;17;33;84;24;0;1;28;2;189;3
508;Deux-Montagnes;2022-10-03;G;Saint-Eustache, v;9;;80;400;18;19;68;38;0;0;43;0;186;1
508;Deux-Montagnes;2022-10-03;G;Saint-Eustache, v;9;;81;406;13;19;63;13;1;0;24;3;136;1
508;Deux-Montagnes;2022-10-03;G;Saint-Eustache, v;9;;82;391;21;30;66;30;0;0;31;1;179;4
508;Deux-Montagnes;2022-10-03;G;Saint-Eustache, v;9;;83;398;19;23;86;22;0;1;23;3;177;6
508;Deux-Montagnes;2022-10-03;G;Saint-Eustache, v;9;;84;407;19;42;48;20;0;1;30;3;163;4
508;Deux-Montagnes;2022-10-03;G;Saint-Eustache, v;9;;85;393;12;21;49;29;0;0;28;6;145;2
508;Deux-Montagnes;2022-10-03;G;Saint-Eustache, v;10;;86A;226;11;18;57;16;2;0;20;0;124;0
508;Deux-Montagnes;2022-10-03;G;Saint-Eustache, v;10;;86B;228;9;8;46;22;0;0;20;2;107;4
508;Deux-Montagnes;2022-10-03;G;Saint-Eustache, v;10;;87;396;28;30;69;25;0;0;34;1;187;1
