Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Beauregard Lucien Ind;Boisvert Pauline D.D.;Dallaire Germain C.Q.;Déry Pascal P.C.Q-E.E.D.;Gagnon-Ducharme Cédric P.Q.;Harvey Manon Q.S.;Lévesque Gabriel P.L.Q./Q.L.P.;Roy Suzanne C.A.Q.-E.F.L.;Saikali Nadim P.V.Q./G.P.Q.;B.V.;B.R.
256;Verchères;2022-10-03;G;Varennes, v;5;;63;361;0;0;0;5;41;28;7;80;1;162;0
256;Verchères;2022-10-03;G;Varennes, v;5;;64;381;0;0;0;11;28;23;4;55;1;122;3
256;Verchères;2022-10-03;G;Varennes, v;5;;65;409;1;0;0;9;34;18;8;72;0;142;3
256;Verchères;2022-10-03;G;Varennes, v;5;;66;361;0;0;0;14;35;18;16;116;0;199;2
256;Verchères;2022-10-03;G;Varennes, v;5;;67;355;0;0;0;6;36;20;10;95;0;167;0
256;Verchères;2022-10-03;G;Varennes, v;5;;68;359;0;0;0;12;61;27;16;65;6;187;0
256;Verchères;2022-10-03;G;Varennes, v;5;;69;353;0;0;0;6;44;28;8;77;2;165;1
256;Verchères;2022-10-03;G;Varennes, v;6;;70;394;0;0;0;14;42;35;7;76;0;174;0
256;Verchères;2022-10-03;G;Varennes, v;6;;71;399;0;0;0;13;59;46;13;93;1;225;5
256;Verchères;2022-10-03;G;Varennes, v;6;;72;395;0;0;1;13;71;30;11;66;0;192;0
256;Verchères;2022-10-03;G;Varennes, v;6;;73;390;0;0;0;7;37;39;8;88;1;180;2
256;Verchères;2022-10-03;G;Varennes, v;6;;74;388;0;0;0;19;30;23;14;104;0;190;2
256;Verchères;2022-10-03;G;Varennes, v;6;;75;399;0;0;0;12;40;35;10;98;2;197;0
256;Verchères;2022-10-03;G;Varennes, v;6;;76;397;0;0;0;13;52;30;13;75;0;183;2
256;Verchères;2022-10-03;G;Sainte-Julie, v;1;;77;405;1;1;3;8;40;31;17;93;4;198;2
256;Verchères;2022-10-03;G;Sainte-Julie, v;1;;78;395;1;0;0;11;48;40;12;70;1;183;0
256;Verchères;2022-10-03;G;Sainte-Julie, v;1;;79;411;9;0;0;20;44;28;27;89;0;217;2
256;Verchères;2022-10-03;G;Sainte-Julie, v;1;;80;397;1;0;1;11;60;49;22;81;3;228;1
256;Verchères;2022-10-03;G;Sainte-Julie, v;1;;81;399;0;0;0;24;49;38;11;71;1;194;3
256;Verchères;2022-10-03;G;Sainte-Julie, v;1;;82;398;0;0;0;12;33;36;10;96;5;192;0
256;Verchères;2022-10-03;G;Sainte-Julie, v;1;;83;390;1;0;2;16;28;41;7;73;3;171;1
256;Verchères;2022-10-03;G;Sainte-Julie, v;2;;84;396;1;1;0;17;35;19;4;97;1;175;1
256;Verchères;2022-10-03;G;Sainte-Julie, v;2;;85;401;0;1;1;19;33;35;12;127;2;230;4
256;Verchères;2022-10-03;G;Sainte-Julie, v;2;;86;396;1;0;0;7;44;27;15;108;3;205;3
256;Verchères;2022-10-03;G;Sainte-Julie, v;2;;87;393;0;0;0;9;49;12;7;75;2;154;0
256;Verchères;2022-10-03;G;Sainte-Julie, v;2;;88;386;0;0;0;7;37;20;25;94;4;187;0
256;Verchères;2022-10-03;G;Sainte-Julie, v;2;;89;412;0;0;0;14;54;48;21;116;0;253;1
256;Verchères;2022-10-03;G;Sainte-Julie, v;3;;90;408;1;0;0;13;26;18;18;74;2;152;1
256;Verchères;2022-10-03;G;Sainte-Julie, v;3;;91;390;2;0;0;18;28;18;19;86;0;171;1
256;Verchères;2022-10-03;G;Sainte-Julie, v;4;;92;367;2;0;2;27;27;23;13;60;0;154;3
256;Verchères;2022-10-03;G;Sainte-Julie, v;4;;93;374;0;0;2;21;49;29;10;88;2;201;0
256;Verchères;2022-10-03;G;Sainte-Julie, v;4;;94;369;0;0;1;13;25;31;6;91;3;170;1
256;Verchères;2022-10-03;G;Sainte-Julie, v;4;;95;368;0;0;0;15;43;22;7;65;3;155;3
256;Verchères;2022-10-03;G;Sainte-Julie, v;4;;96;367;0;0;1;15;37;25;5;93;0;176;0
256;Verchères;2022-10-03;G;Sainte-Julie, v;4;;97;371;2;0;0;12;28;27;11;69;0;149;0
256;Verchères;2022-10-03;G;Sainte-Julie, v;4;;98;365;0;0;0;15;38;20;18;80;2;173;3
256;Verchères;2022-10-03;G;Sainte-Julie, v;4;;99;370;1;0;1;7;34;24;12;77;0;156;1
256;Verchères;2022-10-03;G;Sainte-Julie, v;5;;100;376;1;0;1;9;26;14;16;101;0;168;0
256;Verchères;2022-10-03;G;Sainte-Julie, v;5;;101;380;1;0;0;10;59;29;19;91;4;213;3
256;Verchères;2022-10-03;G;Sainte-Julie, v;5;;102;381;0;0;1;14;41;25;11;81;3;176;3
256;Verchères;2022-10-03;G;Sainte-Julie, v;5;;103;384;0;0;0;8;32;21;4;84;0;149;1
256;Verchères;2022-10-03;G;Sainte-Julie, v;5;;104;393;1;0;1;17;37;37;9;117;3;222;2
256;Verchères;2022-10-03;G;Sainte-Julie, v;5;;105;375;0;0;1;14;45;36;9;72;1;178;2
256;Verchères;2022-10-03;G;Sainte-Julie, v;5;;106;382;0;0;1;4;46;26;8;79;1;165;1
