Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Arantes Luciana P.L.Q./Q.L.P.;Beauchesne Mario P.Q.;Fortin Pascale Q.S.;Henoud Tarek P.C.Q-E.E.D.;Lefebvre Eric C.A.Q.-E.F.L.;Martel Trystan C.Q.;B.V.;B.R.
144;Arthabaska;2022-10-03;G;Victoriaville, v;4;;23;395;10;19;22;56;73;2;182;3
144;Arthabaska;2022-10-03;G;Victoriaville, v;4;;24;400;7;18;24;48;75;1;173;7
144;Arthabaska;2022-10-03;G;Victoriaville, v;4;;25;409;5;22;22;57;98;1;205;1
144;Arthabaska;2022-10-03;G;Victoriaville, v;4;;26;408;10;17;24;57;92;1;201;6
144;Arthabaska;2022-10-03;G;Victoriaville, v;4;;27;387;6;19;15;45;92;2;179;1
144;Arthabaska;2022-10-03;G;Victoriaville, v;4;;28;412;5;10;23;40;90;1;169;5
144;Arthabaska;2022-10-03;G;Victoriaville, v;4;;29;399;4;30;19;55;90;1;199;6
144;Arthabaska;2022-10-03;G;Victoriaville, v;5;;30;377;5;25;24;28;69;0;151;3
144;Arthabaska;2022-10-03;G;Victoriaville, v;5;;31;384;7;30;29;30;69;1;166;1
144;Arthabaska;2022-10-03;G;Victoriaville, v;5;;32;389;6;12;17;27;66;0;128;2
144;Arthabaska;2022-10-03;G;Victoriaville, v;5;;33;359;9;8;8;29;50;1;105;2
144;Arthabaska;2022-10-03;G;Victoriaville, v;5;;34;369;9;19;19;34;54;3;138;1
144;Arthabaska;2022-10-03;G;Victoriaville, v;5;;35;373;10;21;11;21;90;1;154;3
144;Arthabaska;2022-10-03;G;Victoriaville, v;5;;36;378;10;17;11;23;77;1;139;2
144;Arthabaska;2022-10-03;G;Victoriaville, v;5;;37;395;3;34;34;30;96;3;200;2
144;Arthabaska;2022-10-03;G;Victoriaville, v;5;;38;413;5;26;36;40;59;4;170;3
144;Arthabaska;2022-10-03;G;Victoriaville, v;6;;39;405;14;24;22;38;79;3;180;2
144;Arthabaska;2022-10-03;G;Victoriaville, v;6;;40A;203;2;12;19;24;34;3;94;0
144;Arthabaska;2022-10-03;G;Victoriaville, v;6;;40B;243;7;8;15;39;22;2;93;3
144;Arthabaska;2022-10-03;G;Victoriaville, v;6;;41A;230;1;6;27;27;34;1;96;7
144;Arthabaska;2022-10-03;G;Victoriaville, v;6;;41B;214;8;9;15;9;44;1;86;3
144;Arthabaska;2022-10-03;G;Victoriaville, v;6;;42;417;5;13;41;53;72;1;185;7
144;Arthabaska;2022-10-03;G;Victoriaville, v;6;;43;423;7;20;22;33;95;0;177;1
144;Arthabaska;2022-10-03;G;Victoriaville, v;6;;44A;240;5;15;17;30;39;0;106;2
144;Arthabaska;2022-10-03;G;Victoriaville, v;6;;44B;198;10;8;8;27;34;0;87;3
144;Arthabaska;2022-10-03;G;Victoriaville, v;6;;45;423;10;13;35;59;71;5;193;4
144;Arthabaska;2022-10-03;G;Victoriaville, v;6;;46;409;6;22;31;29;59;0;147;2
144;Arthabaska;2022-10-03;G;Victoriaville, v;6;;47;406;5;14;16;25;108;0;168;4
144;Arthabaska;2022-10-03;G;Victoriaville, v;6;;48;387;5;12;19;29;75;1;141;3
144;Arthabaska;2022-10-03;G;Victoriaville, v;7;;49;398;6;13;19;22;77;1;138;2
144;Arthabaska;2022-10-03;G;Victoriaville, v;7;;50;403;6;21;20;25;86;0;158;2
144;Arthabaska;2022-10-03;G;Victoriaville, v;7;;51;399;7;25;10;37;87;1;167;5
144;Arthabaska;2022-10-03;G;Victoriaville, v;7;;52;403;5;13;18;14;96;0;146;3
