Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Cloutier Sylvain E.A.;Dufour Guillaume Q.S.;Forget Michel P.Q.;Lemieux Sylvain P.L.Q./Q.L.P.;Poulin Frédéric P.C.Q-E.E.D.;Rivest Mathieu C.A.Q.-E.F.L.;B.V.;B.R.
826;Côte-du-Sud;2022-10-03;G;Saint-Paul-de-Montminy, m;1;;36;317;0;8;18;11;49;84;170;4
826;Côte-du-Sud;2022-10-03;G;Saint-Paul-de-Montminy, m;1;;37;335;3;6;15;10;57;102;193;2
826;Côte-du-Sud;2022-10-03;G;Saint-Fabien-de-Panet, p;1;;38;395;0;3;18;2;56;75;154;2
826;Côte-du-Sud;2022-10-03;G;Saint-Fabien-de-Panet, p;1;;39;414;4;10;16;17;78;75;200;5
826;Côte-du-Sud;2022-10-03;G;Saint-Just-de-Bretenières, m;1;;40;286;1;5;13;3;57;74;153;2
826;Côte-du-Sud;2022-10-03;G;Saint-Just-de-Bretenières, m;1;;41;277;1;4;16;9;67;55;152;0
826;Côte-du-Sud;2022-10-03;G;Lac-Frontière, m;1;;42;149;0;0;10;1;29;48;88;0
826;Côte-du-Sud;2022-10-03;G;Sainte-Lucie-de-Beauregard, m;1;;43;228;0;7;10;6;50;60;133;4
826;Côte-du-Sud;2022-10-03;G;Sainte-Apolline-de-Patton, p;1;;44;210;0;6;13;3;47;56;125;1
826;Côte-du-Sud;2022-10-03;G;Sainte-Apolline-de-Patton, p;1;;45;208;0;8;16;9;39;54;126;1
826;Côte-du-Sud;2022-10-03;G;Cap-Saint-Ignace, m;1;;46;351;1;12;18;7;33;77;148;3
826;Côte-du-Sud;2022-10-03;G;Cap-Saint-Ignace, m;1;;47;350;1;16;8;9;56;62;152;7
826;Côte-du-Sud;2022-10-03;G;Cap-Saint-Ignace, m;1;;48;352;1;11;18;7;43;84;164;1
826;Côte-du-Sud;2022-10-03;G;Cap-Saint-Ignace, m;1;;49;360;1;12;17;2;44;72;148;0
826;Côte-du-Sud;2022-10-03;G;Cap-Saint-Ignace, m;1;;50;367;1;5;13;10;41;72;142;2
826;Côte-du-Sud;2022-10-03;G;Cap-Saint-Ignace, m;1;;51;356;0;15;21;2;49;50;137;3
826;Côte-du-Sud;2022-10-03;G;Cap-Saint-Ignace, m;1;;52;358;0;9;20;9;47;62;147;4
826;Côte-du-Sud;2022-10-03;G;Saint-Antoine-de-l'Isle-aux-Grues, p;1;;53;108;0;2;10;4;22;41;79;0
826;Côte-du-Sud;2022-10-03;G;L'Islet, m;1;;54;387;3;22;22;12;44;64;167;1
826;Côte-du-Sud;2022-10-03;G;L'Islet, m;1;;55;395;1;39;26;9;40;78;193;4
826;Côte-du-Sud;2022-10-03;G;L'Islet, m;1;;56;383;0;18;26;6;38;74;162;1
826;Côte-du-Sud;2022-10-03;G;L'Islet, m;1;;57;391;0;10;19;4;47;53;133;3
