Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Boisvert Caroline D.D.;Chahad Sanae C.Q.;Desgagné Marie-Laurence P.Q.;Desnoyers Daniel P.C.Q-E.E.D.;Michaux-St-Louis Vincent Q.S.;Roberge Jean-François C.A.Q.-E.F.L.;Yunes Lina P.L.Q./Q.L.P.;B.V.;B.R.
238;Chambly;2022-10-03;G;Saint-Basile-le-Grand, v;2;;17;391;0;3;33;15;37;72;18;178;3
238;Chambly;2022-10-03;G;Saint-Basile-le-Grand, v;2;;18;396;2;2;51;13;40;68;14;190;1
238;Chambly;2022-10-03;G;Saint-Basile-le-Grand, v;2;;19;378;0;3;28;19;23;92;12;177;2
238;Chambly;2022-10-03;G;Saint-Basile-le-Grand, v;2;;20;392;0;5;27;16;21;63;16;148;1
238;Chambly;2022-10-03;G;Saint-Basile-le-Grand, v;3;;21A;239;0;2;16;7;13;47;11;96;2
238;Chambly;2022-10-03;G;Saint-Basile-le-Grand, v;3;;21B;244;0;1;21;6;19;44;4;95;0
238;Chambly;2022-10-03;G;Saint-Basile-le-Grand, v;3;;22;391;0;3;35;17;21;77;21;174;2
238;Chambly;2022-10-03;G;Saint-Basile-le-Grand, v;3;;23;374;0;1;52;18;25;63;8;167;2
238;Chambly;2022-10-03;G;Saint-Basile-le-Grand, v;3;;24;387;0;2;48;22;40;77;13;202;0
238;Chambly;2022-10-03;G;Saint-Basile-le-Grand, v;3;;25;399;0;4;39;17;39;76;20;195;1
238;Chambly;2022-10-03;G;Saint-Basile-le-Grand, v;3;;26;395;0;4;42;22;55;57;11;191;5
238;Chambly;2022-10-03;G;Saint-Basile-le-Grand, v;3;;27;388;0;1;41;7;60;80;18;207;2
238;Chambly;2022-10-03;G;Saint-Basile-le-Grand, v;3;;28;398;2;6;38;10;58;77;17;208;0
238;Chambly;2022-10-03;G;Saint-Basile-le-Grand, v;3;;29;388;1;2;31;8;46;108;21;217;0
238;Chambly;2022-10-03;G;Saint-Basile-le-Grand, v;3;;30;388;1;1;41;16;43;77;9;188;1
238;Chambly;2022-10-03;G;Saint-Basile-le-Grand, v;3;;31;395;1;3;26;16;21;102;9;178;3
238;Chambly;2022-10-03;G;Saint-Basile-le-Grand, v;3;;32;377;0;0;38;19;19;76;7;159;0
238;Chambly;2022-10-03;G;Carignan, v;1;;33A;244;0;0;16;5;17;44;14;96;0
238;Chambly;2022-10-03;G;Carignan, v;1;;33B;243;0;1;7;5;4;62;10;89;0
238;Chambly;2022-10-03;G;Carignan, v;1;;34;423;0;2;42;17;23;81;21;186;2
238;Chambly;2022-10-03;G;Carignan, v;1;;35;392;0;1;37;22;17;78;20;175;0
238;Chambly;2022-10-03;G;Carignan, v;1;;36;391;0;0;39;15;17;72;20;163;5
238;Chambly;2022-10-03;G;Carignan, v;1;;37;418;0;1;24;32;7;77;24;165;0
238;Chambly;2022-10-03;G;Carignan, v;1;;38;413;1;0;23;24;34;67;8;157;4
238;Chambly;2022-10-03;G;Carignan, v;1;;39;399;0;2;19;22;16;79;15;153;2
238;Chambly;2022-10-03;G;Carignan, v;1;;40;402;0;3;27;28;40;49;21;168;3
238;Chambly;2022-10-03;G;Carignan, v;1;;41;364;0;1;26;13;28;55;31;154;0
238;Chambly;2022-10-03;G;Carignan, v;1;;42;401;0;3;29;25;30;74;19;180;2
238;Chambly;2022-10-03;G;Carignan, v;1;;43;389;1;2;22;17;16;92;19;169;5
238;Chambly;2022-10-03;G;Carignan, v;1;;44;393;0;5;19;19;22;49;48;162;2
238;Chambly;2022-10-03;G;Carignan, v;2;;45;383;1;3;20;22;31;74;18;169;4
238;Chambly;2022-10-03;G;Carignan, v;2;;46;402;0;4;29;19;26;63;24;165;10
238;Chambly;2022-10-03;G;Carignan, v;2;;47;392;0;0;28;18;38;95;21;200;1
238;Chambly;2022-10-03;G;Carignan, v;2;;48;392;0;1;28;25;19;108;26;207;5
238;Chambly;2022-10-03;G;Carignan, v;2;;49;410;0;6;41;11;30;105;18;211;5
238;Chambly;2022-10-03;G;Carignan, v;2;;50;401;1;3;33;27;29;75;16;184;3
238;Chambly;2022-10-03;G;Carignan, v;2;;51;399;1;3;25;24;25;61;13;152;4
238;Chambly;2022-10-03;G;Carignan, v;2;;52;409;2;1;31;23;21;55;21;154;0
238;Chambly;2022-10-03;G;Carignan, v;2;;53;362;0;1;35;15;19;49;4;123;2
238;Chambly;2022-10-03;G;Carignan, v;2;;54;367;0;0;24;15;20;62;15;136;1
238;Chambly;2022-10-03;G;Chambly, v;1;;55;365;1;3;35;21;35;66;5;166;3
