Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Brochu Yolaine E.A.;Cardinal Dominic P.L.Q./Q.L.P.;Dubuc Victor P.Q.;Guilbault Geneviève C.A.Q.-E.F.L.;Hamel Jean-Pierre D.D.;Lachance Steven Q.S.;Robitaille Marika P.C.Q-E.E.D.;Vendette Daydree P.V.Q./G.P.Q.;B.V.;B.R.
708;Louis-Hébert;2022-10-03;G;Saint-Augustin-de-Desmaures, v;5;;35;387;0;19;30;73;0;30;26;2;180;1
708;Louis-Hébert;2022-10-03;G;Saint-Augustin-de-Desmaures, v;5;;36;403;0;15;41;62;0;43;18;2;181;2
708;Louis-Hébert;2022-10-03;G;Saint-Augustin-de-Desmaures, v;5;;37;404;1;12;33;71;0;31;21;1;170;3
708;Louis-Hébert;2022-10-03;G;Saint-Augustin-de-Desmaures, v;5;;38;394;0;14;12;70;0;29;36;0;161;2
708;Louis-Hébert;2022-10-03;G;Saint-Augustin-de-Desmaures, v;5;;39;387;0;22;27;73;0;29;30;1;182;1
708;Louis-Hébert;2022-10-03;G;Québec, v;10;;40;367;1;7;18;62;0;7;42;2;139;2
708;Louis-Hébert;2022-10-03;G;Québec, v;10;;41;359;0;4;13;69;0;11;37;0;134;2
708;Louis-Hébert;2022-10-03;G;Québec, v;10;;42;369;0;7;18;45;0;18;49;3;140;2
708;Louis-Hébert;2022-10-03;G;Québec, v;10;;43;379;0;5;15;76;0;19;43;3;161;2
708;Louis-Hébert;2022-10-03;G;Québec, v;10;;44;358;0;10;15;46;0;13;38;1;123;1
708;Louis-Hébert;2022-10-03;G;Québec, v;10;;45;363;0;27;18;73;0;15;38;1;172;1
708;Louis-Hébert;2022-10-03;G;Québec, v;10;;46;377;0;19;22;63;0;22;37;0;163;2
708;Louis-Hébert;2022-10-03;G;Québec, v;10;;47;347;0;14;26;79;0;20;20;1;160;2
708;Louis-Hébert;2022-10-03;G;Québec, v;11;;48;379;0;10;19;72;0;21;30;0;152;2
708;Louis-Hébert;2022-10-03;G;Québec, v;11;;49;363;0;14;21;59;0;19;48;1;162;1
708;Louis-Hébert;2022-10-03;G;Québec, v;11;;50;355;0;12;17;53;0;16;41;0;139;0
708;Louis-Hébert;2022-10-03;G;Québec, v;11;;51;382;0;29;35;69;0;18;42;0;193;1
708;Louis-Hébert;2022-10-03;G;Québec, v;11;;52;357;1;15;21;68;0;18;28;1;152;1
708;Louis-Hébert;2022-10-03;G;Québec, v;12;;53;390;0;12;13;61;0;29;22;1;138;4
708;Louis-Hébert;2022-10-03;G;Québec, v;12;;54;391;1;15;14;71;0;23;30;2;156;3
708;Louis-Hébert;2022-10-03;G;Québec, v;12;;55;361;0;24;17;48;0;37;46;0;172;0
708;Louis-Hébert;2022-10-03;G;Québec, v;12;;56;380;0;14;22;46;0;29;36;2;149;1
708;Louis-Hébert;2022-10-03;G;Québec, v;13;;57;368;0;18;15;60;0;17;38;2;150;3
708;Louis-Hébert;2022-10-03;G;Québec, v;13;;58;393;0;11;26;76;0;27;24;2;166;0
708;Louis-Hébert;2022-10-03;G;Québec, v;13;;59;387;0;9;26;75;1;19;24;1;155;1
708;Louis-Hébert;2022-10-03;G;Québec, v;13;;60;399;0;9;34;78;0;30;23;1;175;1
708;Louis-Hébert;2022-10-03;G;Québec, v;13;;61;390;0;15;32;68;0;21;46;5;187;0
708;Louis-Hébert;2022-10-03;G;Québec, v;14;;62;373;0;15;24;77;0;35;26;1;178;1
708;Louis-Hébert;2022-10-03;G;Québec, v;14;;63;386;0;16;27;85;1;33;27;1;190;1
708;Louis-Hébert;2022-10-03;G;Québec, v;14;;64;381;0;20;39;66;0;32;16;2;175;1
708;Louis-Hébert;2022-10-03;G;Québec, v;14;;65;365;0;18;40;53;0;48;14;4;177;0
708;Louis-Hébert;2022-10-03;G;Québec, v;14;;66;387;0;31;20;107;0;13;41;1;213;1
708;Louis-Hébert;2022-10-03;G;Québec, v;14;;67;369;0;19;34;105;0;16;35;2;211;1
708;Louis-Hébert;2022-10-03;G;Québec, v;14;;68;372;0;20;35;78;0;15;32;1;181;4
708;Louis-Hébert;2022-10-03;G;Québec, v;14;;69;343;1;20;26;70;0;22;22;0;161;0
708;Louis-Hébert;2022-10-03;G;Québec, v;14;;70;395;0;14;21;71;1;35;52;3;197;1
708;Louis-Hébert;2022-10-03;G;Québec, v;15;;71;396;0;18;41;62;0;42;17;2;182;3
708;Louis-Hébert;2022-10-03;G;Québec, v;15;;72;389;0;21;39;64;0;27;30;1;182;5
708;Louis-Hébert;2022-10-03;G;Québec, v;15;;73;382;0;28;39;59;0;33;13;1;173;3
708;Louis-Hébert;2022-10-03;G;Québec, v;15;;74;381;0;22;47;76;0;41;8;2;196;1
708;Louis-Hébert;2022-10-03;G;Québec, v;15;;75;380;1;11;31;70;0;32;31;0;176;2
708;Louis-Hébert;2022-10-03;G;Québec, v;15;;76;381;0;9;35;55;0;35;14;1;149;2
708;Louis-Hébert;2022-10-03;G;Québec, v;15;;77;415;0;23;41;61;0;22;27;2;176;2
708;Louis-Hébert;2022-10-03;G;Québec, v;15;;78;371;0;12;32;62;0;43;15;2;166;1
708;Louis-Hébert;2022-10-03;G;Québec, v;15;;79;369;0;12;20;54;0;47;19;3;155;1
708;Louis-Hébert;2022-10-03;G;Québec, v;16;;80;370;0;24;32;46;0;24;29;1;156;0
708;Louis-Hébert;2022-10-03;G;Québec, v;16;;81;362;0;17;34;57;0;26;28;2;164;2
708;Louis-Hébert;2022-10-03;G;Québec, v;16;;82;362;1;16;21;50;0;22;19;3;132;2
708;Louis-Hébert;2022-10-03;G;Québec, v;16;;83;359;0;21;33;76;0;22;10;1;163;3
708;Louis-Hébert;2022-10-03;G;Québec, v;16;;84;385;0;24;27;57;0;46;26;1;181;2
708;Louis-Hébert;2022-10-03;G;Québec, v;16;;85;358;0;12;23;66;0;27;25;4;157;2
708;Louis-Hébert;2022-10-03;G;Québec, v;16;;86;374;0;18;37;44;0;11;16;1;127;0
708;Louis-Hébert;2022-10-03;G;Québec, v;16;;87;371;0;12;42;60;0;17;15;0;146;2
708;Louis-Hébert;2022-10-03;G;Québec, v;17;;88;393;0;21;33;50;1;32;8;3;148;0
708;Louis-Hébert;2022-10-03;G;Québec, v;17;;89;366;0;14;26;41;2;25;27;1;136;2
708;Louis-Hébert;2022-10-03;G;Québec, v;17;;90;375;1;28;43;48;0;34;16;0;170;1
708;Louis-Hébert;2022-10-03;G;Québec, v;17;;91;360;1;13;31;42;0;25;17;4;133;2
708;Louis-Hébert;2022-10-03;G;Québec, v;17;;92;350;0;14;24;45;0;40;18;2;143;0
708;Louis-Hébert;2022-10-03;G;Québec, v;17;;93;363;0;10;33;78;0;23;7;2;153;3
708;Louis-Hébert;2022-10-03;G;Québec, v;17;;94;381;0;22;23;70;0;29;28;1;173;0
708;Louis-Hébert;2022-10-03;G;Québec, v;17;;95;370;0;24;32;84;0;11;32;5;188;0
708;Louis-Hébert;2022-10-03;G;Québec, v;17;;96A;244;0;10;15;55;0;16;12;0;108;0
708;Louis-Hébert;2022-10-03;G;Québec, v;17;;96B;240;0;12;19;57;0;14;16;0;118;1
708;Louis-Hébert;2022-10-03;G;Québec, v;18;;97;365;0;10;37;52;0;36;7;1;143;2
708;Louis-Hébert;2022-10-03;G;Québec, v;18;;98;369;1;27;19;43;1;35;33;3;162;2
708;Louis-Hébert;2022-10-03;G;Québec, v;18;;99;371;2;26;47;59;1;34;10;1;180;2
708;Louis-Hébert;2022-10-03;G;Québec, v;18;;100A;226;0;7;14;29;0;12;5;1;68;0
708;Louis-Hébert;2022-10-03;G;Québec, v;18;;100B;270;0;9;11;28;0;10;7;1;66;0
708;Louis-Hébert;2022-10-03;G;Québec, v;18;;101;374;1;8;22;25;0;12;4;1;73;0
708;Louis-Hébert;2022-10-03;G;Québec, v;18;;102;394;0;25;14;66;0;12;18;2;137;5
708;Louis-Hébert;2022-10-03;G;Québec, v;18;;103;368;0;14;15;37;0;19;11;4;100;1
708;Louis-Hébert;2022-10-03;G;Québec, v;19;;104;410;1;8;39;42;0;33;23;2;148;1
708;Louis-Hébert;2022-10-03;G;Québec, v;19;;105;419;0;13;28;53;1;39;22;2;158;3
708;Louis-Hébert;2022-10-03;G;Québec, v;19;;106;401;0;16;23;46;0;7;7;3;102;1
708;Louis-Hébert;2022-10-03;G;Québec, v;19;;107;396;0;4;21;56;0;19;9;0;109;1
708;Louis-Hébert;2022-10-03;G;Québec, v;19;;108;377;0;15;22;44;1;12;14;1;109;1
708;Louis-Hébert;2022-10-03;G;Québec, v;19;;109;387;0;12;19;39;0;8;12;2;92;0
708;Louis-Hébert;2022-10-03;G;Québec, v;19;;110A;238;0;9;19;24;0;16;10;0;78;0
708;Louis-Hébert;2022-10-03;G;Québec, v;19;;110B;268;0;7;16;33;1;14;17;4;92;0
708;Louis-Hébert;2022-10-03;G;Québec, v;19;;111;390;0;25;29;69;0;10;18;0;151;0
708;Louis-Hébert;2022-10-03;G;Québec, v;20;;112;388;0;18;43;55;0;29;20;3;168;0
708;Louis-Hébert;2022-10-03;G;Québec, v;20;;113;367;0;17;26;51;0;12;10;0;116;0
708;Louis-Hébert;2022-10-03;G;Québec, v;20;;114;381;0;10;18;56;0;9;6;0;99;3
708;Louis-Hébert;2022-10-03;G;Québec, v;20;;115A;241;0;9;23;35;0;13;13;1;94;1
708;Louis-Hébert;2022-10-03;G;Québec, v;20;;115B;239;0;9;19;37;0;8;10;0;83;0
708;Louis-Hébert;2022-10-03;G;Québec, v;20;;116;396;0;22;55;64;0;46;24;3;214;0
708;Louis-Hébert;2022-10-03;G;Québec, v;20;;117A;236;0;12;19;35;0;19;14;0;99;3
